;pr
1976-10-31;71.3132
1976-11-30;52.8643
1976-12-31;53.3741
1977-01-31;70.9318
1977-02-28;90.7182
1977-03-31;76.623
1977-04-30;39.7126
1977-05-31;30.5152
1977-06-30;11.3364
1977-07-31;8.48886
1977-08-31;14.6467
1977-09-30;47.4635
1977-10-31;35.5114
1977-11-30;56.0288
1977-12-31;72.9554
1978-01-31;95.5107
1978-02-28;68.6485
1978-03-31;73.0019
1978-04-30;53.1872
1978-05-31;6.51705
1978-06-30;6.54791
1978-07-31;5.12376
1978-08-31;18.4133
1978-09-30;24.6175
1978-10-31;43.559
1978-11-30;41.7975
1978-12-31;59.6099
1979-01-31;54.2396
1979-02-28;57.243
1979-03-31;31.379
1979-04-30;22.5756
1979-05-31;25.0421
1979-06-30;9.945910000000001
1979-07-31;28.4603
1979-08-31;39.8618
1979-09-30;17.6224
1979-10-31;45.06
1979-11-30;51.427
1979-12-31;42.6491
1980-01-31;60.5648
1980-02-29;75.874
1980-03-31;44.5416
1980-04-30;16.6662
1980-05-31;8.59418
1980-06-30;9.66687
1980-07-31;3.7596300000000005
1980-08-31;18.3852
1980-09-30;46.1414
1980-10-31;17.6309
1980-11-30;85.2433
1980-12-31;55.7543
1981-01-31;100.09899999999999
1981-02-28;83.7342
1981-03-31;67.6246
1981-04-30;20.3455
1981-05-31;26.3051
1981-06-30;12.3582
1981-07-31;9.42967
1981-08-31;49.1886
1981-09-30;20.8026
1981-10-31;39.3988
1981-11-30;49.2275
1981-12-31;57.5605
1982-01-31;52.2786
1982-02-28;35.2068
1982-03-31;46.6468
1982-04-30;61.6439
1982-05-31;6.20244
1982-06-30;15.200999999999999
1982-07-31;20.1926
1982-08-31;5.7998
1982-09-30;16.2412
1982-10-31;61.2988
1982-11-30;34.8444
1982-12-31;34.6426
1983-01-31;40.0246
1983-02-28;24.721999999999998
1983-03-31;40.775999999999996
1983-04-30;21.7043
1983-05-31;28.4345
1983-06-30;21.5378
1983-07-31;29.2356
1983-08-31;10.3455
1983-09-30;19.0566
1983-10-31;41.7064
1983-11-30;80.8367
1983-12-31;66.63600000000001
1984-01-31;62.3019
1984-02-29;29.6367
1984-03-31;63.6977
1984-04-30;26.1991
1984-05-31;21.366999999999997
1984-06-30;13.5844
1984-07-31;16.6306
1984-08-31;17.2894
1984-09-30;16.0113
1984-10-31;57.6899
1984-11-30;46.4569
1984-12-31;31.8004
1985-01-31;76.1914
1985-02-28;96.3234
1985-03-31;41.4325
1985-04-30;14.8083
1985-05-31;12.6712
1985-06-30;11.8739
1985-07-31;10.2795
1985-08-31;5.461
1985-09-30;18.2388
1985-10-31;73.7921
1985-11-30;54.4114
1985-12-31;91.4852
1986-01-31;63.1038
1986-02-28;40.6024
1986-03-31;43.7202
1986-04-30;36.552
1986-05-31;2.49948
1986-06-30;22.6786
1986-07-31;6.90742
1986-08-31;25.4025
1986-09-30;17.5676
1986-10-31;63.9367
1986-11-30;59.3591
1986-12-31;50.0179
1987-01-31;40.1078
1987-02-28;53.5962
1987-03-31;50.178999999999995
1987-04-30;27.8823
1987-05-31;9.66581
1987-06-30;13.936
1987-07-31;11.7921
1987-08-31;24.2927
1987-09-30;85.9573
1987-10-31;29.4287
1987-11-30;62.3673
1987-12-31;60.7536
1988-01-31;41.0528
1988-02-29;127.65100000000001
1988-03-31;87.5837
1988-04-30;54.9068
1988-05-31;13.1203
1988-06-30;17.8393
1988-07-31;8.91672
1988-08-31;12.9255
1988-09-30;37.8892
1988-10-31;59.48
1988-11-30;41.3098
1988-12-31;90.6775
1989-01-31;61.1797
1989-02-28;110.37799999999999
1989-03-31;40.3233
1989-04-30;55.2812
1989-05-31;13.4527
1989-06-30;18.2239
1989-07-31;10.0709
1989-08-31;9.17506
1989-09-30;12.2908
1989-10-31;39.0488
1989-11-30;87.1435
1989-12-31;52.1904
1990-01-31;47.6582
1990-02-28;57.3875
1990-03-31;63.1718
1990-04-30;57.7063
1990-05-31;10.4257
1990-06-30;17.4546
1990-07-31;8.13457
1990-08-31;12.5752
1990-09-30;6.79254
1990-10-31;25.0618
1990-11-30;22.7407
1990-12-31;57.803999999999995
1991-01-31;113.71700000000001
1991-02-28;63.15
1991-03-31;79.7912
1991-04-30;5.92753
1991-05-31;10.6128
1991-06-30;23.4393
1991-07-31;11.3333
1991-08-31;4.87694
1991-09-30;28.6665
1991-10-31;71.7739
1991-11-30;37.2828
1991-12-31;56.7355
1992-01-31;29.3252
1992-02-29;37.1748
1992-03-31;36.1043
1992-04-30;14.4567
1992-05-31;4.89625
1992-06-30;11.6148
1992-07-31;9.81373
1992-08-31;22.0714
1992-09-30;7.609539999999999
1992-10-31;35.6254
1992-11-30;54.1272
1992-12-31;49.5574
1993-01-31;41.1542
1993-02-28;60.9931
1993-03-31;41.6897
1993-04-30;36.1535
1993-05-31;12.9808
1993-06-30;11.7965
1993-07-31;11.217
1993-08-31;12.9075
1993-09-30;18.3703
1993-10-31;61.3099
1993-11-30;53.6713
1993-12-31;77.1168
1994-01-31;76.7241
1994-02-28;72.6475
1994-03-31;56.0447
1994-04-30;18.6393
1994-05-31;4.623469999999999
1994-06-30;14.4981
1994-07-31;13.6903
1994-08-31;10.5066
1994-09-30;7.41148
1994-10-31;29.8253
1994-11-30;28.4899
1994-12-31;50.3552
1995-01-31;68.6747
1995-02-28;33.3951
1995-03-31;79.1196
1995-04-30;29.0664
1995-05-31;25.4991
1995-06-30;9.84287
1995-07-31;7.3696
1995-08-31;13.1953
1995-09-30;14.8875
1995-10-31;45.3688
1995-11-30;69.8577
1995-12-31;106.25299999999999
1996-01-31;94.9951
1996-02-29;107.292
1996-03-31;41.7532
1996-04-30;32.621
1996-05-31;19.9117
1996-06-30;6.391830000000001
1996-07-31;26.7414
1996-08-31;17.0715
1996-09-30;15.4957
1996-10-31;50.9236
1996-11-30;92.0419
1996-12-31;71.3735
1997-01-31;75.8443
1997-02-28;40.3626
1997-03-31;104.291
1997-04-30;38.9607
