pr,"	Year", Month, Country, ISO3, ISO2
94.0596,1944,2,ZAF,,
55.2339,1944,3,ZAF,,
12.3521,1944,4,ZAF,,
23.4162,1944,5,ZAF,,
29.0308,1944,6,ZAF,,
7.7855,1944,7,ZAF,,
9.83026,1944,8,ZAF,,
41.1219,1944,9,ZAF,,
46.5855,1944,10,ZAF,,
37.04,1944,11,ZAF,,
19.8017,1944,12,ZAF,,
55.9011,1945,1,ZAF,,
46.8928,1945,2,ZAF,,
85.0826,1945,3,ZAF,,
18.7764,1945,4,ZAF,,
19.9525,1945,5,ZAF,,
11.7362,1945,6,ZAF,,
13.9157,1945,7,ZAF,,
7.65178,1945,8,ZAF,,
3.71356,1945,9,ZAF,,
27.9479,1945,10,ZAF,,
27.5781,1945,11,ZAF,,
32.5682,1945,12,ZAF,,
90.7937,1946,1,ZAF,,
69.9765,1946,2,ZAF,,
64.1521,1946,3,ZAF,,
34.2287,1946,4,ZAF,,
24.4757,1946,5,ZAF,,
6.32538,1946,6,ZAF,,
6.26018,1946,7,ZAF,,
4.78813,1946,8,ZAF,,
14.3717,1946,9,ZAF,,
38.3367,1946,10,ZAF,,
43.3595,1946,11,ZAF,,
43.3314,1946,12,ZAF,,
48.6287,1947,1,ZAF,,
53.5083,1947,2,ZAF,,
66.1879,1947,3,ZAF,,
36.8384,1947,4,ZAF,,
16.0933,1947,5,ZAF,,
13.4203,1947,6,ZAF,,
16.3655,1947,7,ZAF,,
5.45615,1947,8,ZAF,,
28.5624,1947,9,ZAF,,
31.6071,1947,10,ZAF,,
57.2746,1947,11,ZAF,,
82.8169,1947,12,ZAF,,
63.3329,1948,1,ZAF,,
63.9801,1948,2,ZAF,,
107.295,1948,3,ZAF,,
52.5839,1948,4,ZAF,,
11.5805,1948,5,ZAF,,
4.33398,1948,6,ZAF,,
10.2523,1948,7,ZAF,,
3.80431,1948,8,ZAF,,
14.1214,1948,9,ZAF,,
45.4137,1948,10,ZAF,,
44.1821,1948,11,ZAF,,
30.8615,1948,12,ZAF,,
68.2568,1949,1,ZAF,,
44.3078,1949,2,ZAF,,
46.9015,1949,3,ZAF,,
27.0372,1949,4,ZAF,,
16.3854,1949,5,ZAF,,
9.18893,1949,6,ZAF,,
6.78191,1949,7,ZAF,,
9.8457,1949,8,ZAF,,
16.2361,1949,9,ZAF,,
28.6982,1949,10,ZAF,,
66.8858,1949,11,ZAF,,
73.6216,1949,12,ZAF,,
49.2407,1950,1,ZAF,,
60.9578,1950,2,ZAF,,
78.3416,1950,3,ZAF,,
63.834,1950,4,ZAF,,
41.0569,1950,5,ZAF,,
6.15381,1950,6,ZAF,,
16.7536,1950,7,ZAF,,
24.3658,1950,8,ZAF,,
23.275,1950,9,ZAF,,
28.6859,1950,10,ZAF,,
43.5057,1950,11,ZAF,,
93.5829,1950,12,ZAF,,
55.8028,1951,1,ZAF,,
41.5469,1951,2,ZAF,,
51.7766,1951,3,ZAF,,
38.1135,1951,4,ZAF,,
23.7131,1951,5,ZAF,,
14.3119,1951,6,ZAF,,
12.5083,1951,7,ZAF,,
18.5386,1951,8,ZAF,,
24.7418,1951,9,ZAF,,
53.3389,1951,10,ZAF,,
16.0585,1951,11,ZAF,,
38.2143,1951,12,ZAF,,
44.2847,1952,1,ZAF,,
78.1465,1952,2,ZAF,,
34.293,1952,3,ZAF,,
23.7829,1952,4,ZAF,,
15.126,1952,5,ZAF,,
12.1784,1952,6,ZAF,,
28.5521,1952,7,ZAF,,
14.3145,1952,8,ZAF,,
25.2918,1952,9,ZAF,,
26.9849,1952,10,ZAF,,
62.3891,1952,11,ZAF,,
69.589,1952,12,ZAF,,
47.5376,1953,1,ZAF,,
96.7793,1953,2,ZAF,,
45.9534,1953,3,ZAF,,
54.0876,1953,4,ZAF,,
12.0695,1953,5,ZAF,,
8.36233,1953,6,ZAF,,
12.0949,1953,7,ZAF,,
16.9399,1953,8,ZAF,,
19.2799,1953,9,ZAF,,
43.3474,1953,10,ZAF,,
75.6766,1953,11,ZAF,,
68.9743,1953,12,ZAF,,
58.2242,1954,1,ZAF,,
58.4702,1954,2,ZAF,,
88.8514,1954,3,ZAF,,
35.048,1954,4,ZAF,,
34.3773,1954,5,ZAF,,
9.3925,1954,6,ZAF,,
14.2296,1954,7,ZAF,,
14.4115,1954,8,ZAF,,
20.7992,1954,9,ZAF,,
27.1278,1954,10,ZAF,,
59.2091,1954,11,ZAF,,
50.0005,1954,12,ZAF,,
108.617,1955,1,ZAF,,
