;0
1941-08-31;13.8578
1941-09-30;14.8154
1941-10-31;19.244
1941-11-30;20.4139
1941-12-31;22.608
1942-01-31;23.5424
1942-02-28;24.0021
1942-03-31;21.1078
1942-04-30;17.8611
1942-05-31;13.8641
1942-06-30;11.2302
1942-07-31;11.3389
1942-08-31;12.9863
1942-09-30;15.5649
1942-10-31;17.2345
1942-11-30;20.4221
1942-12-31;21.1962
1943-01-31;21.9974
1943-02-28;21.6553
1943-03-31;21.0079
1943-04-30;17.3882
1943-05-31;13.2338
1943-06-30;10.5865
1943-07-31;10.2079
1943-08-31;10.9463
1943-09-30;14.8867
1943-10-31;18.2809
1943-11-30;19.8621
1943-12-31;21.3081
1944-01-31;23.5031
1944-02-29;22.2546
1944-03-31;20.6947
1944-04-30;17.8955
1944-05-31;12.6949
1944-06-30;10.3356
1944-07-31;11.2022
1944-08-31;14.0518
1944-09-30;15.1047
1944-10-31;19.6744
1944-11-30;20.9162
1944-12-31;22.1382
1945-01-31;23.0481
1945-02-28;24.2614
1945-03-31;20.6418
1945-04-30;18.7553
1945-05-31;13.6733
1945-06-30;10.3792
1945-07-31;10.9281
1945-08-31;13.2991
1945-09-30;18.0109
1945-10-31;17.7016
1945-11-30;21.3559
1945-12-31;22.0174
1946-01-31;22.5531
1946-02-28;22.8962
1946-03-31;20.7978
1946-04-30;18.3301
1946-05-31;14.8914
1946-06-30;10.9309
1946-07-31;11.2748
1946-08-31;12.7761
1946-09-30;16.5893
1946-10-31;18.1961
1946-11-30;21.0289
1946-12-31;22.9643
1947-01-31;23.4474
1947-02-28;24.3801
1947-03-31;21.3133
1947-04-30;18.2713
1947-05-31;14.272
1947-06-30;11.0305
1947-07-31;9.451039999999999
1947-08-31;14.0171
1947-09-30;15.1641
1947-10-31;19.0456
1947-11-30;21.4623
1947-12-31;21.7657
1948-01-31;22.6163
1948-02-29;22.2686
1948-03-31;20.0347
1948-04-30;17.0946
1948-05-31;14.8876
1948-06-30;11.3397
1948-07-31;11.4119
1948-08-31;13.6376
1948-09-30;14.7748
1948-10-31;18.3774
1948-11-30;19.7841
1948-12-31;22.2754
1949-01-31;24.2301
1949-02-28;22.4677
1949-03-31;20.7945
1949-04-30;18.0529
1949-05-31;14.0031
1949-06-30;12.3972
1949-07-31;11.1729
1949-08-31;12.890999999999998
1949-09-30;16.6671
1949-10-31;18.847
1949-11-30;19.6732
1949-12-31;22.169
1950-01-31;23.0797
1950-02-28;23.1038
1950-03-31;21.7519
1950-04-30;17.1177
1950-05-31;13.6118
1950-06-30;12.2359
1950-07-31;10.8318
1950-08-31;12.8128
1950-09-30;16.0128
1950-10-31;17.8771
1950-11-30;19.8482
1950-12-31;21.379
1951-01-31;21.217
1951-02-28;22.7498
1951-03-31;20.3856
1951-04-30;17.8031
1951-05-31;13.9754
1951-06-30;10.4339
1951-07-31;9.80992
1951-08-31;12.3194
1951-09-30;14.8503
1951-10-31;17.9729
1951-11-30;20.6342
1951-12-31;22.7442
1952-01-31;23.7758
